Date,^GSPC,^IXIC,^GDAXI,^FTSE
2009-08-26,1028.1199951171875,2024.4300537109375,5521.97021484375,4890.60009765625
2009-08-27,1030.97998046875,2027.72998046875,5470.330078125,4869.39990234375
2009-08-28,1028.9300537109375,2028.77001953125,5517.35009765625,4908.89990234375
2009-08-31,1020.6199951171875,2009.06005859375,5464.60986328125,
2009-09-01,998.0399780273438,1968.8900146484375,5327.2900390625,4819.7001953125
2009-09-02,994.75,1967.0699462890625,5319.83984375,4817.60009765625
2009-09-03,1003.239990234375,1983.199951171875,5301.419921875,4796.7998046875
2009-09-04,1016.4000244140625,2018.780029296875,5384.43017578125,4851.7001953125
2009-09-08,1025.3900146484375,2037.77001953125,5481.72998046875,4947.2998046875
2009-09-09,1033.3699951171875,2060.389892578125,5574.259765625,5004.2998046875
2009-09-10,1044.1400146484375,2084.02001953125,5594.77001953125,4987.7001953125
2009-09-11,1042.72998046875,2080.89990234375,5624.02001953125,5011.5
2009-09-14,1049.3399658203125,2091.780029296875,5620.240234375,5018.89990234375
2009-09-15,1052.6300048828125,2102.639892578125,5628.97998046875,5042.10009765625
2009-09-16,1068.760009765625,2133.14990234375,5700.259765625,5124.10009765625
2009-09-17,1065.489990234375,2126.75,5731.14013671875,5164.0
2009-09-18,1068.300048828125,2132.860107421875,5703.830078125,5172.89990234375
2009-09-21,1064.6600341796875,2138.0400390625,5668.64990234375,5134.39990234375
2009-09-22,1071.6600341796875,2146.300048828125,5709.3798828125,5142.60009765625
2009-09-23,1060.8699951171875,2131.419921875,5702.0498046875,5139.39990234375
2009-09-24,1050.780029296875,2107.610107421875,5605.2099609375,5079.2998046875
2009-09-25,1044.3800048828125,2090.919921875,5581.41015625,5082.2001953125
2009-09-28,1062.97998046875,2130.739990234375,5736.31005859375,5165.7001953125
2009-09-29,1060.6099853515625,2124.0400390625,5713.52001953125,5159.7001953125
2009-09-30,1057.0799560546875,2122.419921875,5675.16015625,5133.89990234375
2009-10-01,1029.8499755859375,2057.47998046875,5554.5498046875,5047.7998046875
2009-10-02,1025.2099609375,2048.110107421875,5467.89990234375,4988.7001953125
2009-10-05,1040.4599609375,2068.14990234375,5508.85009765625,5024.2998046875
2009-10-06,1054.719970703125,2103.570068359375,5657.64013671875,5138.0
2009-10-07,1057.5799560546875,2110.330078125,5640.75,5108.89990234375
2009-10-08,1065.47998046875,2123.929931640625,5716.5400390625,5154.60009765625
2009-10-09,1071.489990234375,2139.280029296875,5711.8798828125,5161.89990234375
2009-10-12,1076.18994140625,2139.139892578125,5783.22998046875,5210.2001953125
2009-10-13,1073.18994140625,2139.889892578125,5714.31005859375,5154.2001953125
2009-10-14,1092.02001953125,2172.22998046875,5854.14013671875,5256.10009765625
2009-10-15,1096.56005859375,2173.2900390625,5830.77001953125,5223.0
2009-10-16,1087.6800537109375,2156.800048828125,5743.39013671875,5190.2001953125
2009-10-19,1097.9100341796875,2176.320068359375,5852.56005859375,5281.5
2009-10-20,1091.06005859375,2163.469970703125,5811.77001953125,5243.39990234375
